ENTITY_ID,ITEM_ID,ITEM_DESCRIPTION,PRODUCT_ID,PRODUCT_DESCRIPTION,SOURCE_PRODUCT_DESCRIPTION,PPI_CODE,PPI_DESCRIPTION,REVIEW_STATUS,COMMODITY,SHAPE,PRODUCTIONMETHOD,DETAILEDPRODUCTIONMETHOD,DIMENSION_ID,DIMENSION1,DIMENSION2,DIMENSION3,DIMENSION4,ADDITIONALDESCRIPTOR,SIZE_DESCRIPTION,SPECIFICATION,GRADE,SURFACETREATMENT,THERMALTREATMENT,TEMPER,FLASH,ENDTYPE,TESTINGMETHOD,TUBETYPE,WELDINGTYPE,CATEGORY_ID,CATEGORY_DESCRIPTION,MANAGEMENT_GROUP_DESC,MANAGEMENT_SUMMARY_GROUP_DESC,CATEGORY_COMMODITY_GROUP,SELLABLE_IND,RECORD_SOURCE,CEDW_PRODUCT_ID,CEDW_PRODUCT_NO,HUB_PRODUCT_KEY,HUB_ITEM_MASTER_KEY,FILTER1_NAME,FILTER1_DESC,FILTER2_NAME,FILTER2_DESC,FILTER3_NAME,FILTER3_DESC,FILTER4_NAME,FILTER4_DESC,MDM_EXISTS,HAS_TRANSACTION,HAS_WEIGHT,ENTITY_ENABLED,ML_READY,UPDATE_DATE,UPDATED_BY
EMJUS,IM-1351,STAINLESS - ROUND - HOT ROLLED - MISCELLANEOUS,508900,508900-ROUND BAR-303 HR ANN RT BAR ASTM A582-303 HR ANN RT ASTM A582-3-5/8 RD X 12' R/L-IKK-EB - RDB - 303HR RT ANN,508900-ROUND BAR-303 HR ANN RT BAR ASTM A582-303 HR ANN RT ASTM A582-3-5/8 RD X 12' R/L-IKK-EB - RDB - 303HR RT ANN,10170400,"HOT ROLLED BARS, PLATES, & STRUCTURAL SHAPES",,STAINLESS,ROUND,HOT ROLLED,MISCELLANEOUS,DM-154576,3.6250,,,,,3.6250,ASTM A582,303,ROUGH TURNED,ANNEALED,,,,,,,43,STAINLESS STEEL ROUNDS,STAINLESS BAR,STAINLESS,STAINLESS STEEL,Y,WIN,508900,508900,478f40e0880141784426965e129d2650,0ffffb183242a50d51a101141ed15c00,Commodity,STAINLESS,Family,01-26-BAR - ROUND-STAINLESS - HOT FINISH,Shape,RDBS-ROUND BAR-STAINLESS,Product,508900-ROUND BAR-303 HR ANN RT BAR            ASTM A582-303 HR ANN RT ASTM A582-3-5/8 RD X 12' R/L-IKK-EB,Y,Y,Y,Y,0.00000,2025-04-02 20:09:59.096,ALander1
EMJUS,IM-1488,STEEL - CARBON - TUBE - ROUND - WELDED - COLD FINISHED,132836,CARBON CDBW 1018/1026 MECH A-512 SRA 2.000 OD X 1.250 ID (.375 W) X 15/22' R/L,132836-ROUND TUBE--CARBON CDBW 1018/1026 MECH A-512 SRA-2.000 OD X 1.250 ID (.375 W) X 15/22' R/L-BCQ-XP - 1018-1026 - RDT - 1018-1026CDBW SRA,10170600,STEEL PIPE & TUBE,,STEEL - CARBON,TUBE - ROUND,WELDED,COLD FINISHED,DM-116968,2.0000,1.2500,0.3750,,,2.0000 X 1.2500 X 0.3750,ASTM A512,1018 | 1026,,,,,PLAIN,,,,66,WELDED CARBON TUBE,CARBON TUBE,CARBON,CARBON STEEL,Y,WIN,132836,132836,4790449100f09a307368f02444344885,d1770c53debd6a50d57cacd7c0ce785a,Commodity,CARBON,Family,53-10-TUBE - CDBW-CARBON STEEL - COLD FINISH,Shape,RDTC-ROUND TUBE-CARBON,Product,132836-ROUND TUBE--CARBON CDBW 1018/1026 MECH A-512 SRA-2.000 OD X 1.250 ID (.375 W) X 15/22' R/L-BCQ-XP,Y,N,N,Y,0.00000,2025-02-14 13:08:35.334,ALander1
EMJUS,IM-1387,STEEL - ALLOY - ROUND - HOT ROLLED - MISCELLANEOUS,406280,406280-ROUND BAR-4140/4142 HR ANN BAR ASTM A322-4140/4142 HR ANN ASTM A322-3-3/4 RD X 20' R/L-DOA-EA,406280-ROUND BAR-4140/4142 HR ANN BAR ASTM A322-4140/4142 HR ANN ASTM A322-3-3/4 RD X 20' R/L-DOA-EA - RDB - 4140/4142HR ANN,10170400,"HOT ROLLED BARS, PLATES, & STRUCTURAL SHAPES",,STEEL - ALLOY,ROUND,HOT ROLLED,MISCELLANEOUS,DM-122831,3.7500,,,,,3.7500,ASTM A322,4140 | 4142,,ANNEALED,,,,,,,5A,ALLOY ROUNDS,ALLOY BAR,ALLOY,ALLOY,Y,WIN,406280,406280,4790d2cbdff54146594efd1688d2a182,a89f0eac47b5615dbdf372b642a98838,Commodity,ALLOY,Family,01-16-BAR - ROUND-COMMERCIAL ALLOY - HOT FINISH,Shape,RDBL-ROUND BAR-ALLOY,Product,406280-ROUND BAR-4140/4142 HR ANN BAR ASTM A322-4140/4142 HR ANN ASTM A322-3-3/4 RD X 20' R/L-DOA-EA,Y,N,N,Y,0.00000,2024-08-30 12:58:31.563,ebx-systemUser
EMJUS,IM-1462,STEEL - CARBON - ROUND - HOT ROLLED - COLD FINISHED,501845,501845-ROUND BAR-STRESSPROOF® G&P BAR ASTM A311 CL B-STRESSPROOF® TG&P ASTM A108 A311-B-1-5/8 RD X 20' R/L-ASI-BF - RDB - STRESSPROOF®CF TG&P,501845-ROUND BAR-STRESSPROOF® G&P BAR ASTM A311 CL B-STRESSPROOF® TG&P ASTM A108 A311-B-1-5/8 RD X 20' R/L-ASI-BF - RDB - STRESSPROOF®CF TG&P,10170800,COLD FINISHED BARS,,STEEL - CARBON,ROUND,HOT ROLLED,COLD FINISHED,DM-109321,1.6250,,,,,1.6250,ASTM A108 | ASTM A311,B,GROUND | POLISHED,STRESS RELIEVED,,,,,,,07,COLD FINISHED CARBON ROUNDS,CARBON BAR,CARBON,CARBON STEEL,Y,WIN,501845,501845,4790e194f14784189af8a8bade50afc4,531f4e968ed81fdcea87c6a91b2e3811,Commodity,CARBON,Family,01-10-BAR - ROUND-CARBON STEEL - COLD FINISH,Shape,RDBC-ROUND BAR-CARBON,Product,501845-ROUND BAR-STRESSPROOF® G&P BAR        ASTM A311 CL B-STRESSPROOF® TG&P ASTM A108 A311-B-1-5/8 RD X 20' R/L-ASI-BF,Y,Y,Y,Y,0.00000,2026-04-20 09:06:35.135,ALander1
EMJUS,IM-1132,ALUMINUM - CUSTOM EXTRUSION - EXTRUDED - MISCELLANEOUS,563873,563873-MISC BAR--6061-T6511 EXT SHAPE - ASTM B221-DIE #568553 X 12' INLINE REMOTE HOUSING-OLM-ZZ - XXB - 6061EXT T6511,563873-MISC BAR--6061-T6511 EXT SHAPE - ASTM B221-DIE #568553 X 12' INLINE REMOTE HOUSING-OLM-ZZ - XXB - 6061EXT T6511,10250100,ALUMINUM MILL SHAPES,,ALUMINUM,CUSTOM EXTRUSION,EXTRUDED,MISCELLANEOUS,DM-0000,,,,,,,ASTM B221,6061,,ARTIFICIALLY AGED | SOLUTION HEAT TREATED | STRETCH STRESS RELIEVED,T6511,,,,,,24,ALUMINUM EXTRUSIONS,ALUMINUM BAR & TUBE,ALUMINUM,ALUMINUM,Y,WIN,563873,563873,4793c00e1d02fc22e7635f7b7555c160,c4f3ba57d669f29e7f9b2861a5c30a30,Commodity,ALUMINUM,Family,09-36-BAR - MISCELLANEOUS-ALUMINUM - EXTRUDED,Shape,XXBA-MISC BAR-ALUMINUM,Product,563873-MISC BAR--6061-T6511 EXT SHAPE - ASTM B221-DIE #568553 X 12' INLINE REMOTE HOUSING-OLM-ZZ,Y,Y,Y,Y,0.00000,2024-08-29 09:54:03.004,ebx-systemUser
EMJUS,IM-1386,STEEL - ALLOY - ROUND - HOT ROLLED - COLD FINISHED,569532,569532-ROUND BAR-4140 CF BAR - GBQ PER RUGER SR4140.1 EXC RC 19/25-4140 CF GBQ-RUGER SPEC 4140.1 RC 19/25-1-1/2 RD PP SR-4140.1-1.5X20-DNT-CQ - RDB - 4140CD GUN BARREL,569532-ROUND BAR-4140 CF BAR - GBQ PER RUGER SR4140.1 EXC RC 19/25-4140 CF GBQ-RUGER SPEC 4140.1 RC 19/25-1-1/2 RD PP SR-4140.1-1.5X20-DNT-CQ - RDB - 4140CD GUN BARREL,10170800,COLD FINISHED BARS,,STEEL - ALLOY,ROUND,HOT ROLLED,COLD FINISHED,DM-122795,1.5000,,,,,1.5000,,4140,GUN BARREL QUALITY,,,,,,,,5A,ALLOY ROUNDS,ALLOY BAR,ALLOY,ALLOY,Y,WIN,569532,569532,4793c5cf012da470b111206bdba43800,93bf4624212fb832dcc445d8e9431244,Commodity,ALLOY,Family,01-15-BAR - ROUND-COMMERCIAL ALLOY - COLD FINISH,Shape,RDBL-ROUND BAR-ALLOY,Product,569532-ROUND BAR-4140 CF BAR - GBQ PER RUGER SR4140.1 EXC RC 19/25-4140 CF GBQ-RUGER SPEC 4140.1 RC 19/25-1-1/2 RD PP SR-4140.1-1.5X20-DNT-CQ,Y,Y,Y,Y,1.00000,2024-08-29 09:54:14.489,ebx-systemUser
EMJUS,IM-1140,ALUMINUM - FLAT - EXTRUDED - MISCELLANEOUS,568214,"568214-RECTANGLE BAR--6061-T6511 EXTRUDED BAR AMS QQ-A-200/8-1 X 5 RECT X 6"" (+/-.031) P/N 1651850-OLM-EH - RTB - 6061EXTR T6511","568214-RECTANGLE BAR--6061-T6511 EXTRUDED BAR AMS QQ-A-200/8-1 X 5 RECT X 6"" (+/-.031) P/N 1651850-OLM-EH - RTB - 6061EXTR T6511",10250100,ALUMINUM MILL SHAPES,,ALUMINUM,FLAT,EXTRUDED,MISCELLANEOUS,DM-119820,1.0000,5.0000,,,,1.0000 X 5.0000,AMS QQ-A-200,6061,,ARTIFICIALLY AGED | SOLUTION HEAT TREATED | STRETCH STRESS RELIEVED,T6511,,,,,,23,ALUMINUM BAR,ALUMINUM BAR & TUBE,ALUMINUM,ALUMINUM,Y,WIN,568214,568214,47941a7aa74414451b6d9d843b8806de,f0748fcd785467a85284cd3277b62cc8,Commodity,ALUMINUM,Family,07-36-FLATS & RECTANGLES (BAR)-ALUMINUM - EXTRUDED,Shape,RTBA-RECTANGLE BAR-ALUMINUM,Product,"568214-RECTANGLE BAR--6061-T6511 EXTRUDED BAR  AMS QQ-A-200/8-1 X 5 RECT X 6"" (+/-.031) P/N 1651850-OLM-EH",Y,Y,Y,Y,1.00000,2026-03-23 12:37:39.436,ALander1
EMJUS,IM-1172,ALUMINUM - SQUARE - EXTRUDED - MISCELLANEOUS,565106,565106-SQUARE BAR-7075 T6511 EXTRUDED BAR ASTM B221 AMS QQ A 200/11-7075-T6511 EXT BAR-7/8 SQ X 4.100 (+/-.010) CP00250-BLANK-OOL-EK - SQB - 7075EXT T6511,"565106-SQUARE BAR-7075 T6511 EXTRUDED BAR ASTM B221 AMS QQ A 200/11-7075-T6511 EXT BAR-7/8 SQ X 4.100 (+/-.010"") CP00250-BLANK-OOL-EK - SQB - 7075EXT T6511",10250100,ALUMINUM MILL SHAPES,,ALUMINUM,SQUARE,EXTRUDED,MISCELLANEOUS,DM-120771,0.8750,,,,,0.8750,,7075,,ARTIFICIALLY AGED | SOLUTION HEAT TREATED | STRETCH STRESS RELIEVED,T6511,,,,,,23,ALUMINUM BAR,ALUMINUM BAR & TUBE,ALUMINUM,ALUMINUM,Y,WIN,565106,565106,47951357fbb6aae7ca8e43759b57ed0a,bb43d98e885e183093f9a0ba3c7050d8,Commodity,ALUMINUM,Family,04-36-BAR - SQUARE-ALUMINUM - EXTRUDED,Shape,SQBA-SQUARE BAR-ALUMINUM,Product,"565106-SQUARE BAR-7075 T6511 EXTRUDED BAR ASTM B221 AMS QQ A 200/11-7075-T6511 EXT BAR-7/8 SQ X 4.100 (+/-.010"") CP00250-BLANK-OOL-EK",Y,Y,Y,Y,0.00000,2024-08-29 09:54:03.004,ebx-systemUser
EMJUS,IM-1463,STEEL - CARBON - ROUND - HOT ROLLED - MISCELLANEOUS,149732,IH & CP C1045/1050 75M PSI MIN 1.750 ROUND X 24',149732-ROUND BAR-1045/1050 CG BAR CP 75KSI MIN YLD-IH & CP C1045/1050 75M PSI MIN-1.750 ROUND X 24'-APB-DB - 1045-1050 - RDB - 1045-1050CF IH & CP,10170400,"HOT ROLLED BARS, PLATES, & STRUCTURAL SHAPES",,STEEL - CARBON,ROUND,HOT ROLLED,MISCELLANEOUS,DM-109323,1.7500,,,,,1.7500,,1045 | 1050,CHROME PLATED,INDUCTION HARDENED,,,,,,,07,COLD FINISHED CARBON ROUNDS,CARBON BAR,CARBON,CARBON STEEL,Y,WIN,149732,149732,4795a35a10796c04a74e391b22c71eb6,92a32f466ba79eae65a68a9cfb8cf299,Commodity,CARBON,Family,01-12-BAR - ROUND-CARBON STEEL - PLATED,Shape,RDBC-ROUND BAR-CARBON,Product,149732-ROUND BAR-1045/1050 CG BAR CP  75KSI MIN YLD-IH & CP C1045/1050 75M PSI MIN-1.750 ROUND X 24'-APB-DB,Y,N,N,Y,0.00000,2024-08-30 12:57:25.192,ebx-systemUser
EMJUS,IM-1139,ALUMINUM - FLAT - EXTRUDED - COLD FINISHED,513816,"513816-RECTANGLE BAR-7075-T651 CF BAR AMS QQ A 225/9, QQ A 225/9-7075-T651 CF BAR-1/2 X 1-1/2 RECT X 12'-OOL-AH - RTB - 7075CF T651","513816-RECTANGLE BAR-7075-T651 CF BAR AMS QQ A 225/9, QQ A 225/9-7075-T651 CF BAR-1/2 X 1-1/2 RECT X 12'-OOL-AH - RTB - 7075CF T651",10250100,ALUMINUM MILL SHAPES,,ALUMINUM,FLAT,EXTRUDED,COLD FINISHED,DM-119708,0.5000,1.5000,,,,0.5000 X 1.5000,,7075,,ARTIFICIALLY AGED | SOLUTION HEAT TREATED | STRETCH STRESS RELIEVED,T651,,,,,,23,ALUMINUM BAR,ALUMINUM BAR & TUBE,ALUMINUM,ALUMINUM,Y,WIN,513816,513816,479701104d2b7619cbf6cdab85921bb4,5eaadffb4fc6e1a2e120fe452e210b8e,Commodity,ALUMINUM,Family,07-35-FLATS & RECTANGLES (BAR)-ALUMINUM - DRAWN,Shape,RTBA-RECTANGLE BAR-ALUMINUM,Product,"513816-RECTANGLE BAR-7075-T651 CF BAR AMS QQ A 225/9, QQ A 225/9-7075-T651 CF BAR-1/2 X 1-1/2 RECT X 12'-OOL-AH",Y,Y,Y,Y,0.00000,2024-09-04 16:54:51.366,ebx-systemUser
